date,state,fips,cases,deaths,new cases,new deaths
2020-03-14,Alabama,1,12,0,12,0
2020-03-21,Alabama,1,131,0,119,0
2020-03-28,Alabama,1,720,4,589,4
2020-04-04,Alabama,1,1632,44,912,40
2020-04-11,Alabama,1,3262,93,1630,49
2020-04-18,Alabama,1,4723,147,1461,54
2020-04-25,Alabama,1,6213,213,1490,66
2020-05-02,Alabama,1,7611,288,1398,75
2020-05-09,Alabama,1,9668,390,2057,102
2020-05-16,Alabama,1,11674,485,2006,95
2020-05-23,Alabama,1,14149,549,2475,64
2020-05-30,Alabama,1,17359,618,3210,69
2020-06-06,Alabama,1,20043,689,2684,71
2020-06-13,Alabama,1,24601,773,4558,84
2020-06-20,Alabama,1,29549,838,4948,65
2020-06-27,Alabama,1,35083,919,5534,81
2020-07-04,Alabama,1,42862,1007,7779,88
2020-07-11,Alabama,1,51947,1114,9085,107
2020-07-18,Alabama,1,65234,1286,13287,172
2020-03-14,Alaska,2,1,0,1,0
2020-03-21,Alaska,2,21,0,20,0
2020-03-28,Alaska,2,102,1,81,1
2020-04-04,Alaska,2,169,3,67,2
2020-04-11,Alaska,2,255,6,86,3
2020-04-18,Alaska,2,312,7,57,1
2020-04-25,Alaska,2,337,7,25,0
2020-05-02,Alaska,2,363,7,26,0
2020-05-09,Alaska,2,377,8,14,1
2020-05-16,Alaska,2,392,8,15,0
2020-05-23,Alaska,2,409,8,17,0
2020-05-30,Alaska,2,441,8,32,0
2020-06-06,Alaska,2,579,8,138,0
2020-06-13,Alaska,2,722,10,143,2
2020-06-20,Alaska,2,845,10,123,0
2020-06-27,Alaska,2,1027,12,182,2
2020-07-04,Alaska,2,1339,14,312,2
2020-07-11,Alaska,2,1656,15,317,1
2020-07-18,Alaska,2,2157,16,501,1
2020-02-01,Arizona,4,1,0,1,0
2020-02-08,Arizona,4,1,0,0,0
2020-02-15,Arizona,4,1,0,0,0
2020-02-22,Arizona,4,1,0,0,0
2020-02-29,Arizona,4,1,0,0,0
2020-03-07,Arizona,4,5,0,4,0
2020-03-14,Arizona,4,12,0,7,0
2020-03-21,Arizona,4,104,1,92,1
2020-03-28,Arizona,4,773,15,669,14
2020-04-04,Arizona,4,2019,53,1246,38
2020-04-11,Arizona,4,3393,112,1374,59
2020-04-18,Arizona,4,4719,181,1326,69
2020-04-25,Arizona,4,6280,275,1561,94
2020-05-02,Arizona,4,8364,353,2084,78
2020-05-09,Arizona,4,10960,532,2596,179
2020-05-16,Arizona,4,13631,679,2671,147
2020-05-23,Arizona,4,16040,799,2409,120
2020-05-30,Arizona,4,19255,903,3215,104
2020-06-06,Arizona,4,25517,1046,6262,143
2020-06-13,Arizona,4,34773,1190,9256,144
2020-06-20,Arizona,4,50198,1347,15425,157
2020-06-27,Arizona,4,70152,1581,19954,234
2020-07-04,Arizona,4,94616,1821,24464,240
2020-07-11,Arizona,4,119991,2158,25375,337
2020-07-18,Arizona,4,141333,2733,21342,575
2020-03-14,Arkansas,5,9,0,9,0
2020-03-21,Arkansas,5,118,0,109,0
2020-03-28,Arkansas,5,409,5,291,5
2020-04-04,Arkansas,5,743,14,334,9
2020-04-11,Arkansas,5,1228,25,485,11
2020-04-18,Arkansas,5,1777,38,549,13
2020-04-25,Arkansas,5,2909,48,1132,10
2020-05-02,Arkansas,5,3372,72,463,24
2020-05-09,Arkansas,5,3747,88,375,16
2020-05-16,Arkansas,5,4578,98,831,10
2020-05-23,Arkansas,5,5775,115,1197,17
2020-05-30,Arkansas,5,7013,133,1238,18
2020-06-06,Arkansas,5,9101,154,2088,21
2020-06-13,Arkansas,5,12095,177,2994,23
2020-06-20,Arkansas,5,15142,224,3047,47
2020-06-27,Arkansas,5,19310,259,4168,35
2020-07-04,Arkansas,5,23209,286,3899,27
2020-07-11,Arkansas,5,27864,319,4655,33
2020-07-18,Arkansas,5,32533,357,4669,38
2020-01-25,California,6,1,0,1,0
2020-02-01,California,6,3,0,2,0
2020-02-08,California,6,6,0,3,0
2020-02-15,California,6,7,0,1,0
2020-02-22,California,6,9,0,2,0
2020-02-29,California,6,28,0,19,0
2020-03-07,California,6,100,1,72,1
2020-03-14,California,6,381,5,281,4
2020-03-21,California,6,1544,28,1163,23
2020-03-28,California,6,5566,122,4022,94
2020-04-04,California,6,13796,323,8230,201
2020-04-11,California,6,22421,632,8625,309
2020-04-18,California,6,30829,1146,8408,514
2020-04-25,California,6,42590,1692,11761,546
2020-05-02,California,6,53753,2213,11163,521
2020-05-09,California,6,66824,2732,13071,519
2020-05-16,California,6,78933,3254,12109,522
2020-05-23,California,6,92815,3768,13882,514
2020-05-30,California,6,110100,4214,17285,446
2020-06-06,California,6,129147,4626,19047,412
2020-06-13,California,6,150434,5059,21287,433
2020-06-20,California,6,174854,5495,24420,436
2020-06-27,California,6,211453,5902,36599,407
2020-07-04,California,6,265176,6329,53723,427
